episode,timestep,reward
788,2000,2.5355
1545,4000,2.6433
2100,6000,3.5928
2636,8000,3.7351
3001,10000,5.4712
3372,12000,5.4097
3648,14000,7.2246
3936,16000,6.9444
4200,18000,7.5985
4470,20000,7.4074
4732,22000,7.626
