episode,timestep,reward
87,2000,22.977
167,4000,24.95
237,6000,28.1286
299,8000,32.5484
339,10000,50.2
372,12000,60.4848
393,14000,93.9048
413,16000,99.0
426,18000,150.1538
439,20000,161.6154
450,22000,169.3636
458,24000,242.0
464,26000,341.8333
472,28000,268.5
478,30000,320.8333
483,32000,373.8
489,34000,329.0
495,36000,354.5
500,38000,398.8
507,40000,270.4286
511,42000,453.25
516,44000,468.0
521,46000,394.0
526,48000,367.8
531,50000,451.6
535,52000,500.0
539,54000,500.0
543,56000,500.0
547,58000,500.0
551,60000,500.0
555,62000,500.0
